date,neg,neu,pos
2020/12/14,0.276,0.61,0.114
2020/12/15,0.346,0.562,0.092
2020/12/16,0.36,0.534,0.106
2020/12/17,0.402,0.484,0.114
2020/12/18,0.362,0.548,0.09
2020/12/19,0.354,0.548,0.098
2020/12/20,0.362,0.56,0.078
2020/12/21,0.39,0.542,0.068
2020/12/22,0.342,0.582,0.076
2020/12/23,0.35,0.57,0.08
2020/12/24,0.316,0.472,0.212
2020/12/25,0.354,0.476,0.17
2020/12/26,0.364,0.536,0.1
2020/12/27,0.414,0.484,0.102
2020/12/28,0.412,0.514,0.074
2020/12/29,0.368,0.554,0.078
2020/12/30,0.378,0.52,0.102
2020/12/31,0.272,0.538,0.19
2021/1/1,0.352,0.548,0.1
2021/1/2,0.378,0.544,0.078
2021/1/3,0.398,0.528,0.074
2021/1/4,0.328,0.588,0.084
2021/1/5,0.334,0.582,0.084
2021/1/6,0.452,0.466,0.082
2021/1/7,0.352,0.55,0.098
2021/1/8,0.378,0.526,0.096
2021/1/9,0.344,0.572,0.084
2021/1/10,0.332,0.568,0.1
2021/1/11,0.368,0.548,0.084
2021/1/12,0.354,0.552,0.094
2021/1/13,0.372,0.536,0.092
2021/1/14,0.31,0.574,0.116
2021/1/15,0.312,0.592,0.096
2021/1/16,0.318,0.594,0.088
2021/1/17,0.374,0.542,0.084
2021/1/18,0.348,0.556,0.096
2021/1/19,0.36,0.528,0.112
2021/1/20,0.324,0.582,0.094
2021/1/21,0.338,0.538,0.124
2021/1/22,0.388,0.516,0.096
2021/1/23,0.348,0.542,0.11
2021/1/24,0.28,0.618,0.102
2021/1/25,0.314,0.588,0.098
2021/1/26,0.4,0.496,0.104
2021/1/27,0.35,0.568,0.082
2021/1/28,0.322,0.558,0.12
2021/1/29,0.33,0.57,0.1
2021/1/30,0.356,0.544,0.1
2021/1/31,0.312,0.602,0.086
2021/2/1,0.282,0.63,0.088
2021/2/2,0.31,0.552,0.138
2021/2/3,0.3,0.568,0.132
2021/2/4,0.34,0.576,0.084
2021/2/5,0.308,0.598,0.094
2021/2/6,0.332,0.558,0.11
2021/2/7,0.304,0.576,0.12
2021/2/8,0.33,0.55,0.12
2021/2/9,0.298,0.606,0.096
2021/2/10,0.336,0.558,0.106
2021/2/11,0.354,0.552,0.094
2021/2/12,0.298,0.588,0.114
2021/2/13,0.292,0.63,0.078
2021/2/14,0.33,0.584,0.086
2021/2/15,0.334,0.568,0.098
2021/2/16,0.314,0.59,0.096
2021/2/17,0.316,0.584,0.1
2021/2/18,0.296,0.608,0.096
2021/2/19,0.324,0.58,0.096
2021/2/20,0.332,0.572,0.096
2021/2/21,0.366,0.538,0.096
2021/2/22,0.372,0.534,0.094
2021/2/23,0.342,0.542,0.116
2021/2/24,0.298,0.596,0.106
2021/2/25,0.328,0.536,0.136
2021/2/26,0.324,0.586,0.09
2021/2/27,0.274,0.624,0.102
2021/2/28,0.288,0.6,0.112
2021/3/1,0.29,0.632,0.078
2021/3/2,0.336,0.562,0.102
